episode,total_reward,average_q,safe_rate_100,attempted,executed,steps,epsilon,training_loss
290,-126.2513430798,-0.4115341604,0.0600000000,55,49,77,0.7446790000,2.479251
291,-13.0768360894,0.9346700907,0.0700000000,89,74,119,0.7435009000,2.656491
292,-113.1608725454,0.3923642039,0.0700000000,57,47,77,0.7427386000,1.971083
293,-93.7169063697,-0.3317572474,0.0700000000,74,67,95,0.7417981000,1.938459
294,-119.8893824785,-1.2663255930,0.0700000000,71,59,102,0.7407883000,2.330393
295,-114.2067839090,-0.9270916581,0.0700000000,61,51,80,0.7399963000,1.868612
296,-108.7592813754,-0.5750431418,0.0700000000,73,63,94,0.7390657000,1.942222
297,-51.1951097097,-0.6150165200,0.0800000000,66,55,88,0.7381945000,2.041443
298,-124.5795429523,-1.7161719799,0.0700000000,61,43,78,0.7374223000,2.053473
299,-11.0376411894,-1.6323328018,0.0800000000,56,45,70,0.7367293000,2.421329
300,-35.7947108612,-0.8277043104,0.0900000000,87,73,112,0.7356205000,1.743524
301,-110.5547585933,-1.1941163540,0.0900000000,80,75,104,0.7345909000,1.950846
302,-66.4663397095,-1.5063205957,0.0900000000,66,59,83,0.7337692000,1.593293
303,-124.7459292889,-0.8289698958,0.0900000000,66,53,86,0.7329178000,1.952725
304,-42.5002465178,-1.7979936600,0.0900000000,48,40,64,0.7322842000,2.324720
305,-73.2466429435,-1.9791529179,0.0900000000,73,64,99,0.7313041000,1.984730
306,-248.0695609701,-1.9813055992,0.0900000000,92,79,115,0.7301656000,2.832942
307,-96.5326655368,-1.9893379211,0.0900000000,92,81,130,0.7288786000,2.044392
308,-36.7028842802,-1.5240360498,0.1000000000,61,48,88,0.7280074000,2.262197
309,-88.7550331933,-1.7336379290,0.1000000000,50,45,71,0.7273045000,2.093510
310,-50.7023674968,-1.3286137581,0.1000000000,74,63,89,0.7264234000,2.096354
311,-123.8456165765,-2.5466880798,0.1000000000,89,77,107,0.7253641000,1.736894
312,-38.1143221862,-1.8358869553,0.1000000000,65,53,76,0.7246117000,1.941114
313,-116.3012626419,-1.7130711079,0.1000000000,80,71,103,0.7235920000,2.918505
314,-90.9662798665,-2.7365453243,0.1000000000,60,50,71,0.7228891000,2.083903
315,-121.0539558559,-2.3175625801,0.1000000000,51,42,77,0.7221268000,2.342954
316,-124.9423321704,-2.7966132164,0.1000000000,72,64,101,0.7211269000,2.059118
317,-55.9909520132,-1.9790077209,0.1000000000,54,43,72,0.7204141000,2.246438
318,-125.3367578288,-2.4891574383,0.1000000000,53,44,77,0.7196518000,1.751741
319,-98.1621243431,-2.1993906498,0.1000000000,62,53,78,0.7188796000,2.057590
320,-131.9961565170,-2.8065433502,0.1000000000,83,70,96,0.7179292000,2.252908
321,-92.8781471912,-3.0364274979,0.1000000000,79,69,109,0.7168501000,2.130932
322,-132.7485890354,-2.0465674400,0.1000000000,77,69,101,0.7158502000,2.241798
323,-121.1237509101,-1.7323538065,0.1000000000,64,56,82,0.7150384000,1.683468
324,-7.2587853493,-1.9529510736,0.1100000000,88,75,113,0.7139197000,2.232975
325,-82.3559570344,-2.4904766083,0.1000000000,58,53,76,0.7131673000,2.157781
326,-89.1970070830,-3.3101885319,0.1000000000,44,40,63,0.7125436000,2.154182
327,-0.1932546419,-2.7575953007,0.1100000000,85,67,97,0.7115833000,2.209197
328,-106.2536564451,-2.9789450169,0.1000000000,66,60,83,0.7107616000,2.423050
